x,y,z
-0.2345,0.2871,0.4582
0.5034,0.277,0.357
0.4804,0.3564,0.1781
0.5434,0.3397,0.2792
0.5991,0.3534,0.0362
0.5431,0.2777,0.1006
0.5129,0.29,-0.0392
0.5628,0.3113,0.2476
0.4855,0.331,0.2644
0.5373,0.3824,-0.4851
0.4629,0.3161,0.2219
0.5177,0.3975,0.2571
0.5709,0.3298,0.2306
0.4965,0.3316,0.2697
0.5978,0.3165,0.1732
0.4839,0.3546,0.3113
0.5365,0.3266,0.2716
0.5081,0.2821,0.2864
0.5659,0.3365,0.2916
0.5365,0.2986,0.3178
0.6303,0.4309,0.3675
0.4482,0.3685,-0.4738
0.557,0.4008,0.8427
0.4552,0.2836,0.2641
0.5915,0.272,0.2272
0.4863,0.2879,0.2587
0.5131,0.2922,0.2084
0.5228,0.3297,0.2819
0.6242,0.3592,0.1312
0.5453,0.3017,-0.6078
0.5955,0.3194,0.2488
0.4803,0.3079,0.3302
0.6164,0.3305,0.2176
0.5798,0.3459,0.356
0.5912,0.3471,0.3501
0.5585,0.3156,0.0345
0.552,0.3273,0.2683
0.6422,0.3,0.3818
0.5555,0.359,0.2818
0.5224,0.2928,0.2448
0.6379,0.3655,0.0131
0.5727,0.3379,-0.0082
0.5687,0.302,-0.0448
0.5738,0.3471,0.3405
0.5963,0.3832,0.3172
0.5158,0.3302,0.2564
0.5535,0.3225,0.2606
0.4814,0.3046,0.2904
0.5509,0.4194,0.2676
0.6264,0.3595,0.2748
0.6306,0.2883,0.258
0.5222,0.2959,0.165
0.5148,0.3253,0.153
0.5907,0.3377,0.3132
0.5588,0.3194,0.1786
0.5555,0.3233,0.2318
0.6097,0.3747,0.4013
0.4045,0.3076,0.337
0.5263,0.2901,0.2759
0.5825,0.3559,0.8414
0.5663,0.3023,0.234
0.5855,0.3151,0.271
0.4964,0.3164,0.6861
0.5167,0.3032,0.1199
0.5805,0.3493,0.2689
0.6386,0.3171,0.2772
0.533,0.2825,0.1039
0.5759,0.3302,0.3111
0.5653,0.2831,0.2335
0.6561,0.4073,-0.3206
0.5804,0.384,0.3269
0.4472,0.3093,0.2337
0.4486,0.3936,0.8141
0.5938,0.2837,0.3082
0.5113,0.3211,0.1698
0.5479,0.2917,0.1657
0.6608,0.5632,-0.724
0.5832,0.3066,0.1681
0.5968,0.3575,0.2831
0.5493,0.2868,-0.0014
0.5445,0.2824,0.1948
0.4968,0.291,0.2574
0.4815,0.3122,0.3097
0.4976,0.3206,0.4036
0.5829,0.3328,0.2311
0.6006,0.3672,0.307
0.5776,0.3555,0.2429
0.5413,0.3295,0.2765
0.5508,0.2708,0.273
0.523,0.3351,0.9073
0.5561,0.3905,0.1694
0.5382,0.2551,0.2546
0.5177,0.382,0.3825
0.6627,0.3351,0.2784
0.6031,0.3055,-0.4672
0.4993,0.2996,0.3102
0.5537,0.281,0.2748
0.5183,0.3077,0.0655
0.4615,0.3223,0.2852
0.6256,0.2719,-0.7449
0.523,0.395,0.3175
0.4587,0.2635,0.3405
0.5597,0.333,0.2791
0.5579,0.2808,0.3261
0.5515,-0.6333,0.3608
0.5691,-0.2202,-0.1724
0.6267,-0.8046,-0.4306
0.6125,-0.5793,0.6717
0.4629,0.2494,-0.3404
0.5028,0.6431,-0.7044
0.6886,0.4137,0.2796
0.5777,-0.7229,-0.3696
0.6231,0.4288,-0.2158
0.565,0.3322,0.233
0.5435,-0.7992,0.4858
0.5394,0.3079,0.0004
0.4978,-0.242,-0.4057
0.5008,0.2545,-0.0472
0.6389,0.3454,0.3203
0.6165,0.3616,0.226
0.6331,-0.7908,-0.2155
0.5928,-0.6894,-0.3473
0.5509,0.319,0.2918
0.5974,-0.7993,-0.2361
0.6219,-0.5963,0.3115
0.5454,0.2888,0.2538
0.5919,-0.7565,-0.2449
0.5505,0.3497,0.2906
0.4964,0.3215,0.0863
0.5928,0.3264,0.2703
0.5345,0.2687,0.225
0.5718,-0.2974,-0.2655
0.5467,0.3439,-0.7433
0.54,0.2878,0.3705
0.6002,0.342,0.267
0.6109,0.3358,0.9275
0.5481,0.3091,0.2692
0.5623,0.3129,0.2755
0.5901,0.3875,0.3576
0.5515,-0.7046,-0.4318
0.5652,0.3657,-0.3754
0.5722,0.2712,-0.4339
0.6192,0.4155,0.2923
0.6036,0.3166,0.6239
